Carriers,Country,Arrival,Departure,Duration(mins),Number of stops,Price,Price (Original Currency),Book
"['Thai Airways', 'Thai Airways']",ID,2016-10-16T07:15:00,2016-10-15T15:55:00,1340,1,675.0359023604636,6360313.180258442,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c414%7c16292%7c2016-10-15T15%3a55%7c9970%7c2016-10-15T17%3a15%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d6360313.18%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_bc80d087b4e14d6bd3ad429a2eb85372%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",SG,2016-10-16T07:15:00,2016-10-15T12:25:00,1550,1,675.0475937972443,675.0475937972443,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fSG%2fen-gb%2fSGD%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c404%7c16292%7c2016-10-15T12%3a25%7c9970%7c2016-10-15T13%3a45%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d675.05%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3dd27c4fca-8333-4e32-a681-a6669d9afeb2%26deeplink_ids%3dap-northeast-1.prod_ad5ab23185be524ab122d6c469aa0055%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",SG,2016-10-16T07:15:00,2016-10-15T15:55:00,1340,1,675.0475937972443,675.0475937972443,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fSG%2fen-gb%2fSGD%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c414%7c16292%7c2016-10-15T15%3a55%7c9970%7c2016-10-15T17%3a15%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d675.05%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3dd27c4fca-8333-4e32-a681-a6669d9afeb2%26deeplink_ids%3dap-northeast-1.prod_bc80d087b4e14d6bd3ad429a2eb85372%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",MY,2016-10-16T07:15:00,2016-10-15T07:40:00,1835,1,676.1392199701487,2051.0,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c402%7c16292%7c2016-10-15T07%3a40%7c9970%7c2016-10-15T09%3a00%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d2051.00%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_7754b1023747fa9421d81a6520603f11%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",ID,2016-10-16T07:15:00,2016-10-15T07:40:00,1835,1,676.6855502156944,6375856.467600226,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c402%7c16292%7c2016-10-15T07%3a40%7c9970%7c2016-10-15T09%3a00%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d6375856.47%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_7754b1023747fa9421d81a6520603f11%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['Thai Airways', 'Thai Airways']",SG,2016-10-16T07:15:00,2016-10-15T07:40:00,1835,1,676.6972702239239,676.6972702239239,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fSG%2fen-gb%2fSGD%2fthai%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-31767%7c402%7c16292%7c2016-10-15T07%3a40%7c9970%7c2016-10-15T09%3a00%3bflight%7c-31767%7c910%7c9970%7c2016-10-16T01%3a10%7c13554%7c2016-10-16T07%3a15%26carriers%3d-31767%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d676.70%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3dd27c4fca-8333-4e32-a681-a6669d9afeb2%26deeplink_ids%3dap-northeast-1.prod_7754b1023747fa9421d81a6520603f11%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a44
"['SriLankan Airlines', 'SriLankan Airlines']",MY,2016-10-15T20:00:00,2016-10-15T09:45:00,1035,1,813.6252568733912,2468.05,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fat24%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-31821%7c307%7c16292%7c2016-10-15T09%3a45%7c10610%7c2016-10-15T11%3a05%3bflight%7c-31821%7c503%7c10610%7c2016-10-15T13%3a05%7c13554%7c2016-10-15T20%3a00%26carriers%3d-31821%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d2468.05%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26deeplink_ids%3dap-northeast-1.prod_5a0adb21e685341d53db6e575bfe3d16%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a38
"['SriLankan Airlines', 'SriLankan Airlines']",ID,2016-10-15T20:00:00,2016-10-15T09:45:00,1035,1,814.2826778204997,7672322.064778518,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fat24%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-31821%7c307%7c16292%7c2016-10-15T09%3a45%7c10610%7c2016-10-15T11%3a05%3bflight%7c-31821%7c503%7c10610%7c2016-10-15T13%3a05%7c13554%7c2016-10-15T20%3a00%26carriers%3d-31821%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d7672322.06%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_5a0adb21e685341d53db6e575bfe3d16%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T10%3a40%3a38
"['Air India', 'Air India']",ID,2016-10-16T11:30:00,2016-10-15T19:15:00,1395,1,834.2326081642631,7860294.0,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fID%2fid-id%2fIDR%2fnusa%2f1%2f16292.13554.2016-10-15%2fair%2ftrava%2fflights%3fitinerary%3dflight%7c-32672%7c343%7c16292%7c2016-10-15T19%3a15%7c10075%7c2016-10-15T22%3a05%3bflight%7c-32672%7c131%7c10075%7c2016-10-16T06%3a30%7c13554%7c2016-10-16T11%3a30%26carriers%3d-32672%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d7860294.00%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d9cdacac6-5dca-45e5-b4c6-ae21fc2dfe95%26deeplink_ids%3dap-northeast-1.prod_e2fff34747be4f7157675ae7be3a5c8d%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T07%3a36%3a15
"['Malaysia Airlines', 'Malaysia Airlines']",MY,2016-10-16T05:55:00,2016-10-15T15:35:00,1280,1,838.3081039579746,2542.922922432625,http://partners.api.skyscanner.net/apiservices/deeplink/v2?_cje=Z%2fTY0aUOVIU1g9XSHLwfgzWmZcJ3bZLViWp%2bsMPY34MuCX%2bROXbZRI%2bEUN734A04&url=http%3a%2f%2fwww.apideeplink.com%2ftransport_deeplink%2f4.0%2fMY%2fms-my%2fMYR%2fmaly%2f1%2f16292.13554.2016-10-15%2fair%2fairli%2fflights%3fitinerary%3dflight%7c-32080%7c624%7c16292%7c2016-10-15T15%3a35%7c13311%7c2016-10-15T16%3a45%3bflight%7c-32080%7c2%7c13311%7c2016-10-15T23%3a15%7c13554%7c2016-10-16T05%3a55%26carriers%3d-32080%26passengers%3d1%26channel%3ddataapi%26cabin_class%3deconomy%26facilitated%3dfalse%26ticket_price%3d2542.92%26is_npt%3dfalse%26is_multipart%3dfalse%26client_id%3dskyscanner_b2b%26request_id%3d56f80434-46a9-4332-9a05-3473afb7cfa7%26commercial_filters%3dfalse%26q_datetime_utc%3d2016-10-13T07%3a34%3a32
